Title,Summaries
The Great Gatsby,"A novel set in the Roaring Twenties
Harry Potter and the Philosopher's Stone,"The first book in the Harry Potter series
The Hitchhiker's Guide to the Galaxy,A comedic science fiction novel following the adventures of an unwitting human and his alien friend as they travel through space and time.
The Da Vinci Code,A thriller novel centered around a symbologist and a cryptologist who follow clues to unravel a conspiracy involving the Catholic Church and the Holy Grail.
Pride and Prejudice,"A classic novel of manners set in 19th-century England
To Kill a Mockingbird,"A classic novel set in the 1930s South
1984,A dystopian novel set in a totalitarian society where individualism is suppressed and the government controls every aspect of citizens' lives.
The Lord of the Rings,A fantasy epic following hobbit Frodo Baggins and his companions as they journey to destroy the One Ring and defeat the evil Sauron.
The Catcher in the Rye,"A novel following the misadventures of Holden Caulfield
To the Lighthouse,"A novel exploring the inner lives of a family as they vacation on the Isle of Skye
The Shining,A horror novel about a family who becomes trapped in a haunted hotel during the winter.
The Hunger Games,A dystopian novel set in a post-apocalyptic world where teenagers are forced to fight to the death in an annual televised event.
The Alchemist,A novel following a shepherd boy who embarks on a journey to find a treasure and discovers the importance of following one's dreams.
Little Women,A classic novel following the lives of four sisters as they grow up and navigate the challenges of womanhood during the American Civil War.
The Girl with the Dragon Tattoo,A thriller novel following a journalist and a computer hacker as they investigate a decades-old disappearance and uncover a web of corruption and violence.
Animal Farm,"A political allegory in which a group of farm animals rebel against their human farmer and establish their own government
The Diary of a Young Girl,A memoir in which a Jewish girl documents her experiences hiding with her family during the Nazi occupation of the Netherlands.
Frankenstein,A Gothic novel about a scientist who creates a living being from human parts and is horrified by the monster he has made.
Wuthering Heights,"A Gothic novel set in the moors of England
Great Expectations,A coming-of-age novel following the life of an orphan boy named Pip and his journey to becoming a gentleman.
The Girl on the Train,A psychological thriller about a woman who becomes embroiled in a missing persons investigation after witnessing something from her train window.
The Adventures of Sherlock Holmes,A collection of short stories featuring the famous detective Sherlock Holmes and his partner Dr. Watson solving crimes in Victorian London.
War and Peace,An epic novel by Leo Tolstoy that follows the lives of several aristocratic families during the Napoleonic Wars.
The Bell Jar,A semi-autobiographical novel by Sylvia Plath about a young woman's descent into mental illness.
