Title, Author, Genre, Publication Date, Publisher, User Ratings,Summaries
The Great Gatsby, F. Scott Fitzgerald, Classic Literature,2000, Penguin Classics,4.5,"A novel set in the Roaring Twenties, exploring themes of love, wealth, and the American Dream through the story of Jay Gatsby and his obsession with Daisy Buchanan."
Harry Potter and the Philosopher's Stone, J.K. Rowling, Fantasy,2014, Bloomsbury,4.8,"The first book in the Harry Potter series, a fantasy story about a young orphan boy who discovers he is a wizard and attends a school of magic."
The Hitchhiker's Guide to the Galaxy, Douglas Adams, Science Fiction,1995, Del Rey Books,4.3,A comedic science fiction novel following the adventures of an unwitting human and his alien friend as they travel through space and time.
The Da Vinci Code, Dan Brown, Thriller,2009, Anchor,4.1,A thriller novel centered around a symbologist and a cryptologist who follow clues to unravel a conspiracy involving the Catholic Church and the Holy Grail.
Pride and Prejudice, Jane Austen, Classic Literature,2003, Penguin Classics,4.6,"A classic novel of manners set in 19th-century England, exploring the relationships and social customs of the wealthy Bennet family."
To Kill a Mockingbird, Harper Lee, Classic Literature,1988, Grand Central Publishing,4.5,"A classic novel set in the 1930s South, exploring themes of racism, prejudice, and social inequality through the eyes of a young girl named Scout Finch."
1984, George Orwell, Science Fiction,2009, Signet Classics,4.4,A dystopian novel set in a totalitarian society where individualism is suppressed and the government controls every aspect of citizens' lives.
The Lord of the Rings, J.R.R. Tolkien, Fantasy,2012, Mariner Books,4.7,A fantasy epic following hobbit Frodo Baggins and his companions as they journey to destroy the One Ring and defeat the evil Sauron.
The Catcher in the Rye, J.D. Salinger, Classic Literature,2001, Back Bay Books,4,"A novel following the misadventures of Holden Caulfield, a teenage boy who is disillusioned with the adult world."
To the Lighthouse, Virginia Woolf, Classic Literature,1990, Harcourt,4.2,"A novel exploring the inner lives of a family as they vacation on the Isle of Skye, Scotland."
The Shining, Stephen King, Horror,2012, Anchor,4.3,A horror novel about a family who becomes trapped in a haunted hotel during the winter.
The Hunger Games, Suzanne Collins, Science Fiction,2010, Scholastic Press,4.5,A dystopian novel set in a post-apocalyptic world where teenagers are forced to fight to the death in an annual televised event.
The Alchemist, Paulo Coelho, Fiction,1993, HarperOne,4.7,A novel following a shepherd boy who embarks on a journey to find a treasure and discovers the importance of following one's dreams.
Little Women, Louisa May Alcott, Classic Literature,2012, Penguin Classics,4.5,A classic novel following the lives of four sisters as they grow up and navigate the challenges of womanhood during the American Civil War.
The Girl with the Dragon Tattoo, Stieg Larsson, Crime Fiction,2009, Vintage Crime/Black Lizard,4.2,A thriller novel following a journalist and a computer hacker as they investigate a decades-old disappearance and uncover a web of corruption and violence.
Animal Farm, George Orwell, Classic Literature,2003, Signet Classics,4.5,"A political allegory in which a group of farm animals rebel against their human farmer and establish their own government, which becomes corrupt and oppressive."
The Diary of a Young Girl, Anne Frank, Autobiography,2011, Bantam,4.4,A memoir in which a Jewish girl documents her experiences hiding with her family during the Nazi occupation of the Netherlands.
Frankenstein, Mary Shelley, Horror,1994, Dover Publications,4.1,A Gothic novel about a scientist who creates a living being from human parts and is horrified by the monster he has made.
